Company,Address_Line_1,City,State,ZipCode,Zip4,County_Code,Area_Code,IDCode,Location_Employee_Size_Code,Location_Sales_Volume_Code,Primary_SIC_Code,SIC6_Descriptions,Primary_NAICS_Code,NAICS8_Descriptions,SIC_Code,SIC6_Descriptions_SIC,SIC_Code_1,SIC6_Descriptions_SIC1,SIC_Code_2,SIC6_Descriptions_SIC2,SIC_Code_3,SIC6_Descriptions_SIC3,SIC_Code_4,SIC6_Descriptions_SIC4,Yellow_Page_Code,Employee_Size_Location,Sales_Volume_Location,Business_Status_Code,Industry_Specific_First_Byte,Year_Established,Office_Size_Code,Company_Holding_Status,ABI,Subsidiary_Number,Parent_Number,Parent_Actual_Employee_Size,Parent_Actual_Sales_Volume,Parent_Employee_Size_Code,Parent_Sales_Volume_Code,Site_Number,Address_Type_Indicator,Population_Code,Census_Tract,Census_Block,Latitude,Longitude,Match_Code,CBSA_Code,CBSA_Level,CSA_Code,FIPS_Code,archive_version_year
CPV MANUFACTURING INC,851 N PRESTON ST,PHILADELPHIA,PA,19104,1563,101,215,2,E,,999966,FEDERAL GOVERNMENT CONTRACTORS,99999005,UNCLASSIFIED ESTABLISHMENTS,606101,CREDIT UNIONS,,,,,,,,,,50,,9,,1915,,,000190751,,,,,,,,,9,010700,2,039.969101,-075.204366,0,37980,2,428,42101,2014
AMERICAN LAW INSTITUTE,4025 CHESTNUT ST # 5,PHILADELPHIA,PA,19104,3099,101,215,2,E,,861102,ASSOCIATIONS,81391002,BUSINESS ASSOCIATIONS,481302,TELECOMMUNICATIONS SERVICES,862102,ATTORNEY-BAR ASSOCIATIONS,999966,FEDERAL GOVERNMENT CONTRACTORS,596104,E-COMMERCE,274105,PUBLISHERS (MFRS),04104,51,,9,,1947,,,001160902,,,,,,,,,9,008800,6,039.955797,-075.202787,0,37980,2,428,42101,2014
DREXEL UNIVERSITY CAREER MGMT,3141 CHESTNUT ST,PHILADELPHIA,PA,19104,2875,101,215,2,I,,999966,FEDERAL GOVERNMENT CONTRACTORS,99999005,UNCLASSIFIED ESTABLISHMENTS,,,,,,,,,,,,1500,,9,,1891,,,001160977,,,,,,,,,9,008900,1,039.954120,-075.186910,P,37980,2,428,42101,2014
C L PRESSER CO,4224 MARKET ST,PHILADELPHIA,PA,19104,3095,101,215,2,D,H,508206,CONTRACTORS-EQUIP/SUPLS-DLRS/SVC (WHLS),42381002,CONSTR & MINING (EXC OIL WELL) MACH/EQUIP WHLSRS,342902,HARDWARE-MANUFACTURERS,525101,SAWS,507207,HARDWARE-WHOLESALE,,,,,21133,25,58190,9,,1900,,,002544658,,,,,,,,,9,008700,1,039.957460,-075.206980,P,37980,2,428,42101,2014
UNIVERSAL MOTOR DISTR INC,3215 SPRING GARDEN ST,PHILADELPHIA,PA,19104,2562,101,215,2,B,E,506331,ELECTRIC MOTORS-DISTRIBUTORS (WHLS),42361022,ELECTRICAL APPARATUS/WIRING SUPLS/REL EQUIP WHLSRS,362102,ELECTRIC MOTORS-MANUFACTURERS,506333,ELECTRIC MOTORS-DLRS/REPAIRING (WHLS),999966,FEDERAL GOVERNMENT CONTRACTORS,731908,DISTRIBUTION SERVICES,,,,8,9957,9,,1975,,,002603165,,,,,,,,,9,010900,3,039.963360,-075.188710,P,37980,2,428,42101,2014
PENN TOWER HOTEL,399 S 34TH ST # 5,PHILADELPHIA,PA,19104,4385,101,215,2,F,E,581212,CATERERS,72232001,CATERERS,,,,,,,,,,,14100,175,8085,9,,1975,,,006389407,,,,,,,,,9,007600,1,039.943315,-075.196394,0,37980,2,428,42101,2014
RALSTON HOUSE,3615 CHESTNUT ST,PHILADELPHIA,PA,19104,2676,101,215,2,A,A,836101,SENIOR CITIZENS SERVICE ORGANIZATIONS,62331205,ASSISTED LIVING FACILITIES FOR THE ELDERLY,805101,NURSING & CONVALESCENT HOMES,839998,NON-PROFIT ORGANIZATIONS,809907,HEALTH SERVICES,,,,,,4,192,9,,,,,008667255,,,,,,,402155232,N,9,008900,3,039.954809,-075.194771,0,37980,2,428,42101,2014
ST IGNATIUS NURSING HOME,4401 HAVERFORD AVE,PHILADELPHIA,PA,19104,1332,101,215,2,F,E,839998,NON-PROFIT ORGANIZATIONS,81331908,OTHER SOCIAL ADVOCACY ORGANIZATIONS,805904,RETIREMENT COMMUNITIES & HOMES,805101,NURSING & CONVALESCENT HOMES,,,,,,,,225,5440,9,,,,,008667362,,,,,,,,N,9,010500,3,039.963000,-075.211360,P,37980,2,428,42101,2014
ARCHER ENGINEERING INC,416 N BUDD ST,PHILADELPHIA,PA,19104,2296,101,215,2,A,A,364498,NONCURRENT-CARRYING WIRING DEVICES (MFR),33593202,NONCURRENT-CARRYING WIRING DEVICE MANUFACTURING,362401,CARBON BRUSHES-MANUFACTURERS,,,,,,,,,,1,372,9,,1948,,,009140484,,,,,,,,,9,009200,2,039.960690,-075.204770,P,37980,2,428,42101,2014
RUBENSTEIN CO,2929 ARCH ST # 1650,PHILADELPHIA,PA,19104,2864,101,215,2,D,E,653118,REAL ESTATE,53121003,OFFICES OF REAL ESTATE AGENTS & BROKERS,,,,,,,,,,,70606,30,6261,9,,,,,120686779,,,,,,,,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2014
BAKER & HOSTETLER LLP,2929 ARCH ST # 12,PHILADELPHIA,PA,19104,2891,101,215,2,F,G,811103,ATTORNEYS,54111002,OFFICES OF LAWYERS,811103,ATTORNEYS,999966,FEDERAL GOVERNMENT CONTRACTORS,,,,,,,46404,200,22805,2,,1946,,,120725395,,434613329,400,,G,,,,9,012400,1,039.957048,-075.181466,0,37980,2,428,42101,2014
THOMAS FINANCIAL SVC,4058 CHESTNUT ST,PHILADELPHIA,PA,19104,3044,101,215,2,A,A,872101,ACCOUNTANTS,54121101,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,,,,,,,,,,,00100,2,212,9,C,,,,120726112,,,,,,,,,9,008800,6,039.955670,-075.204580,P,37980,2,428,42101,2014
JAMES L MORSE FUNERAL HOME INC,4000 HAVERFORD AVE,PHILADELPHIA,PA,19104,1706,101,215,2,C,C,726102,CREMATORIES,81222007,CEMETERIES & CREMATORIES,,,,,,,,,,,22508,10,1303,9,,,,,120726278,,,,,,,,,9,009200,1,039.962570,-075.202470,P,37980,2,428,42101,2014
UNIVERSITY CITY CTR-EYE CARE,3935 CHESTNUT ST,PHILADELPHIA,PA,19104,3680,101,215,2,B,C,804201,OPTOMETRISTS OD,62132003,OFFICES OF OPTOMETRISTS,599502,OPTICAL GOODS-RETAIL,,,,,,,,,57708,9,1018,9,,,,,120726591,,,,,,,120726591,,9,008800,6,039.955940,-075.201430,P,37980,2,428,42101,2014
CLAYTON & ASSOC,865 BELMONT AVE # 1,PHILADELPHIA,PA,19104,1301,101,215,2,A,A,811103,ATTORNEYS,54111002,OFFICES OF LAWYERS,,,,,,,,,,,46404,2,228,9,,,,,120727185,,,,,,,,,9,010700,7,039.968810,-075.211050,P,37980,2,428,42101,2014
ORAL & MAXILLOFACIAL SURGERY,3400 SPRUCE ST # 5,PHILADELPHIA,PA,19104,4229,101,215,1,A,B,802101,DENTISTS,62121003,OFFICES OF DENTISTS,,,,,,,,,,,23908,4,501,9,2,,,,120727904,,,,,,,963881693,,9,007600,1,039.949870,-075.193376,P,37980,2,428,42101,2014
PCOT INC,3508 MARKET ST,PHILADELPHIA,PA,19104,3311,101,215,2,B,C,384104,PHYSICIANS & SURGEONS EQUIP & SUPLS-MFRS,33911203,SURGICAL & MEDICAL INSTRUMENT MANUFACTURING,573407,COMPUTER & EQUIPMENT DEALERS,,,,,,,,,,6,1733,9,,,,,120728589,,,,,,,120728589,,9,008900,3,039.955790,-075.193460,P,37980,2,428,42101,2014
ABNER'S OF UNIVERSITY CITY,3813 CHESTNUT ST,PHILADELPHIA,PA,19104,3273,101,215,2,B,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,9,421,9,,,,,120728621,,,,,,,,,9,008800,1,039.955321,-075.198857,0,37980,2,428,42101,2014
ALVIN'S FUEL SALES & SVC,4218 BROWN ST,PHILADELPHIA,PA,19104,1476,101,215,2,B,F,517206,OILS-FUEL (WHLS),42472014,OTHER PETROLEUM MERCHANT WHOLESALE,,,,,,,,,,,57300,5,12596,9,,,,,120728852,,,,,,,,,9,010600,1,039.966790,-075.208600,P,37980,2,428,42101,2014
AMERICAN CHEMIAL SOCIETY,231 S 34TH ST,PHILADELPHIA,PA,19104,3816,101,215,2,A,,839998,NON-PROFIT ORGANIZATIONS,81331908,OTHER SOCIAL ADVOCACY ORGANIZATIONS,861102,ASSOCIATIONS,,,,,,,,,,1,,2,,,,,120728928,,406611350,500,,H,,,,9,008900,2,039.950755,-075.192387,0,37980,2,428,42101,2014
ANDERSON'S EXTERMINATING CO,896 BELMONT AVE,PHILADELPHIA,PA,19104,1302,101,215,2,A,A,734201,PEST CONTROL,56171009,EXTERMINATING & PEST CONTROL SERVICES,,,,,,,,,,,60401,3,189,9,,,,,120728977,,,,,,,,,9,010500,2,039.969450,-075.211790,P,37980,2,428,42101,2014
AVRIL 50,3406 SANSOM ST,PHILADELPHIA,PA,19104,3404,101,215,2,A,B,544101,CANDY & CONFECTIONERY-RETAIL,44529202,CONFECTIONERY & NUT STORES,599301,CIGAR CIGARETTE & TOBACCO DEALERS-RETAIL,599304,CIGAR & CIGARETTE LIGHTERS-RETAIL,,,,,,,,2,585,9,,,,,120729215,,,,,,,,,9,008900,3,039.953450,-075.192540,P,37980,2,428,42101,2014
BELMONT SCHOOL,4030 BROWN ST,PHILADELPHIA,PA,19104,4899,101,215,2,F,,821103,SCHOOLS,61111007,ELEMENTARY & SECONDARY SCHOOLS,,,,,,,,,,,74408,150,,9,E,,,,120729355,,,,,,,,,9,010700,3,039.966960,-075.204870,P,37980,2,428,42101,2014
BILL'S USED APPLIANCES,4246 LANCASTER AVE,PHILADELPHIA,PA,19104,1469,101,215,2,A,A,572207,APPLIANCES-HOUSEHOLD-SMALL-DEALERS,44314104,HOUSEHOLD APPLIANCE STORES,,,,,,,,,,,02930,1,287,9,,,,,120729413,,,,,,,,,9,010600,1,039.967340,-075.209510,P,37980,2,428,42101,2014
LEW BLUM TOWING INC,1130 N 40TH ST,PHILADELPHIA,PA,19104,1131,101,215,2,B,C,753801,AUTOMOBILE REPAIRING & SERVICE,81111104,GENERAL AUTOMOTIVE REPAIR,754924,TOWING-TRUCK & AUTOMOTIVE-REFERRAL SVC,,,,,,,,,05202,8,1019,9,,1977,,,120729496,,,,,,,,,9,011000,3,039.973441,-075.204298,0,37980,2,428,42101,2014
PARKSIDE DEVELOPMENT,4220 PARKSIDE AVE,PHILADELPHIA,PA,19104,1021,101,215,2,A,C,154101,BUILDING RESTORATION & PRESERVATION,23622006,COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION,,,,,,,,,,,11305,4,2444,9,,,,,120729603,,,,,,,,,9,011000,2,039.976330,-075.210410,P,37980,2,428,42101,2014
CALVARY GOSPEL CHAPEL,4121 W GIRARD AVE,PHILADELPHIA,PA,19104,1091,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,1,,9,1,,,,120729777,,,,,,,,,9,011000,3,039.974000,-075.208040,P,37980,2,428,42101,2014
CAMPUS APARTMENTS INC,4043 WALNUT ST,PHILADELPHIA,PA,19104,3513,101,215,2,E,,702106,STUDENT HOUSING,72131009,ROOMING & BOARDING HOUSES,651303,APARTMENTS,,,,,,,,,,90,,1,,1958,,,120729801,,120729801,90,,E,,120729801,,9,008800,5,039.954650,-075.204700,P,37980,2,428,42101,2014
EVANS VARSITY PIZZA & RSTRNT,4311 LOCUST ST,PHILADELPHIA,PA,19104,6416,101,215,2,A,A,581222,PIZZA,72251115,FULL-SERVICE RESTAURANTS,518101,BEER & ALE-WHOLESALE,581208,RESTAURANTS,,,,,,,66000,2,93,9,,2003,,,120729942,,,,,,,,,9,008700,5,039.954040,-075.209760,P,37980,2,428,42101,2014
CENTRAL GLASS CO,4313 LANCASTER AVE,PHILADELPHIA,PA,19104,1303,101,215,2,A,A,523110,GLASS-AUTO PLATE & WINDOW & ETC,44419031,OTHER BUILDING MATERIAL DEALERS,,,,,,,,,,,37604,1,330,9,,,,,120729967,,,,,,,,,9,010700,6,039.968109,-075.210153,0,37980,2,428,42101,2014
CHURCH-ST ANDREW & ST MONICA,3600 BARING ST,PHILADELPHIA,PA,19104,2333,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,3,,9,L,,,,120729991,,,,,,,,,9,009000,5,039.961042,-075.194006,0,37980,2,428,42101,2014
CHRIST COMMUNITY BAPTIST CHR,1224 N 41ST ST # 30,PHILADELPHIA,PA,19104,1041,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,839908,HUMAN SERVICES ORGANIZATIONS,,,,,,,,,15800,3,,9,C,,,,120730197,,,,,,,,,9,011000,3,039.974730,-075.206910,P,37980,2,428,42101,2014
CHRISTIAN ASSOCIATION UNIV-PA,118 S 37TH ST,PHILADELPHIA,PA,19104,3214,101,215,2,B,,866110,RELIGIOUS ORGANIZATIONS,81311021,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,71604,5,,9,,,,,120730221,,,,,,,,,9,008800,2,039.954159,-075.196734,0,37980,2,428,42101,2014
CHURCH OF FAITH,772 N 38TH ST,PHILADELPHIA,PA,19104,1653,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,2,,9,1,,,,120730262,,,,,,,,,9,010800,6,039.967590,-075.198420,P,37980,2,428,42101,2014
CHURCH OF NEW HOPE & FAITH INC,671 N 39TH ST,PHILADELPHIA,PA,19104,1855,101,215,2,B,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,5,,9,2,,,,120730296,,,,,,,,,9,010800,5,039.965210,-075.199750,P,37980,2,428,42101,2014
PHILADELPHIA EPISCOPAL CTHDRL,3701 CHESTNUT ST,PHILADELPHIA,PA,19104,3104,101,215,2,B,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,8,,9,L,,,,120730312,,,,,,,,,9,008800,1,039.955078,-075.196835,0,37980,2,428,42101,2014
CLOCKS WATCHES JEWELRY SALES,14 S 40TH ST,PHILADELPHIA,PA,19104,3009,101,215,2,A,A,763102,WATCHES-REPAIRING,81149056,OTHER PERSONAL & HOUSEHOLD GOODS REPAIR & MAINT,,,,,,,,,,,92004,1,98,9,,,,,120730403,,,,,,,,,9,008800,6,039.956800,-075.202360,P,37980,2,428,42101,2014
DISTRICT ONE COMMUNITY ED CTR,3500 LANCASTER AVE,PHILADELPHIA,PA,19104,4916,101,215,2,A,,841202,ARTS ORGANIZATIONS & INFORMATION,71211004,MUSEUMS,596104,E-COMMERCE,,,,,,,,,03507,2,,9,,,,,120730460,,,,,,,,,9,009000,4,039.957610,-075.192660,P,37980,2,428,42101,2014
CONSORTIUM,451 S UNIVERSITY AVE,PHILADELPHIA,PA,19104,4544,101,215,2,F,F,806301,MENTAL HEALTH SERVICES,62221001,PSYCHIATRIC & SUBSTANCE ABUSE HOSPITALS,801101,PHYSICIANS & SURGEONS,,,,,,,,,51301,150,13017,9,,1967,,,120730585,,,,,,,,,9,007600,1,039.946870,-075.197320,P,37980,2,428,42101,2014
COURTS AT POWELTON,3500 POWELTON AVE,PHILADELPHIA,PA,19104,2465,101,215,2,B,C,651303,APARTMENTS,53111002,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,,,,,,,,,,,02906,7,1694,9,,,,,120730692,,,,,,,,,9,009000,6,039.959560,-075.193110,P,37980,2,428,42101,2014
CRAFT UPHOLSTERING,4221 LANCASTER AVE,PHILADELPHIA,PA,19104,1470,101,215,2,A,A,764109,UPHOLSTERERS,81142013,REUPHOLSTERY & FURNITURE REPAIR,,,,,,,,,,,90102,1,82,9,,,,,120730726,,,,,,,,,9,010700,6,039.967190,-075.208400,P,37980,2,428,42101,2014
DISTRICT COUNCIL 33,3001 WALNUT ST # 10,PHILADELPHIA,PA,19104,3414,101,215,2,C,C,811103,ATTORNEYS,54111002,OFFICES OF LAWYERS,832218,SOCIAL SERVICE & WELFARE ORGANIZATIONS,,,,,,,,,46404,15,1710,9,,,,,120731013,,,,,,,,,9,008900,1,039.951960,-075.184299,0,37980,2,428,42101,2014
DREXEL PIZZA RESTAURANT,107 N 33RD ST,PHILADELPHIA,PA,19104,2707,101,215,2,A,A,581222,PIZZA,72251115,FULL-SERVICE RESTAURANTS,581208,RESTAURANTS,,,,,,,,,,4,187,9,,,,,120731120,,,,,,,,,9,009000,3,039.958311,-075.189021,0,37980,2,428,42101,2014
DWIGHT'S SOUTHERN BAR-B-QUE,4345 LANCASTER AVE,PHILADELPHIA,PA,19104,1303,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,3,140,9,,,,,120731195,,,,,,,,,9,010700,7,039.968270,-075.210310,P,37980,2,428,42101,2014
EAGLE JEWELRY & LOAN CO INC,4216 LANCASTER AVE,PHILADELPHIA,PA,19104,1499,101,215,2,B,A,593229,PAWNBROKERS,52229813,ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION,,,,,,,,,,,59904,5,415,9,,,,,120731237,,,,,,,,,9,010600,1,039.966788,-075.208371,0,37980,2,428,42101,2014
EAST COAST KARATE ASSN,222 S 45TH ST,PHILADELPHIA,PA,19104,2919,101,215,2,A,A,799944,KARATE JUDO JIU-JITSU & KUNG FU INSTR,61162013,SPORTS & RECREATION INSTRUCTION,,,,,,,,,,,44699,3,167,9,,1961,,,120731245,,,,,,,406174327,,9,008600,3,039.954500,-075.212160,P,37980,2,428,42101,2014
EASTERN STATES REALTY CO,4033 WALNUT ST,PHILADELPHIA,PA,19104,3515,101,215,2,A,B,653118,REAL ESTATE,53121003,OFFICES OF REAL ESTATE AGENTS & BROKERS,,,,,,,,,,,70606,4,834,9,,,,,120731278,,,,,,,,,9,008800,5,039.954610,-075.204160,P,37980,2,428,42101,2014
FLOWER EMPORIUM,3400 CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,5127,101,215,2,A,A,599201,FLORISTS-RETAIL,45311001,FLORISTS,,,,,,,,,,,33506,3,230,9,,,,,120731484,,,,,,,,,9,007600,1,039.947940,-075.193060,P,37980,2,428,42101,2014
ERNIE'S AUTO BODY,3804 LANCASTER AVE,PHILADELPHIA,PA,19104,2318,101,215,2,A,A,753201,AUTOMOBILE BODY-REPAIRING & PAINTING,81112102,"AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT",753801,AUTOMOBILE REPAIRING & SERVICE,,,,,,,,,04530,2,270,9,,,,,120731542,,,,,,,120731542,,9,009100,2,039.960160,-075.197280,P,37980,2,428,42101,2014
FAIRFAX,4247 LOCUST ST,PHILADELPHIA,PA,19104,5298,101,215,2,C,C,651303,APARTMENTS,53111002,LESSORS OF RESIDENTIAL BUILDINGS & DWELLINGS,,,,,,,,,,,02906,10,2420,9,,,,,120731617,,,,,,,,,9,008700,2,039.953728,-075.208178,0,37980,2,428,42101,2014
FELLOWSHIP BIBLE CHURCH,4107 ASPEN ST,PHILADELPHIA,PA,19104,1722,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,1,,9,1,,,,120731690,,,,,,,,,9,010700,5,039.966079,-075.206529,0,37980,2,428,42101,2014
